,HDCD_SD_NM_Unnamed: 7_level_1,HDCD_SGG_NM_Unnamed: 8_level_1,Mode_NM_Unnamed: 14_level_1,접근 가능 인구 비율(%)_15분 이내,접근 가능 인구 비율(%)_30분 이내,접근 가능 인구 비율(%)_45분 이내,접근 가능 인구 비율(%)_60분 이내
81,경기도,의왕시,승용차,0.0,0.0,0.0,0.03737240595701546
82,경기도,의정부시,대중교통/도보,0.0,0.0,0.0,3.630045846512123
83,경기도,의정부시,승용차,0.0,0.0,0.11889132108768599,63.22009601776069
84,경기도,이천시,대중교통/도보,0.0,0.0,0.0,0.0
85,경기도,이천시,승용차,0.0,0.0,0.0,9.204788696516422
86,경기도,파주시,대중교통/도보,0.0,0.0,0.0,4.926347039693464
87,경기도,파주시,승용차,0.0,0.0,33.60736668049735,78.5131256081605
88,경기도,평택시,대중교통/도보,0.0,0.0,0.0,0.0
89,경기도,평택시,승용차,0.0,0.0,0.0,0.0
90,경기도,포천시,대중교통/도보,0.0,0.0,0.0,0.0
91,경기도,포천시,승용차,0.0,0.0,0.0,0.0
92,경기도,하남시,대중교통/도보,0.0,0.0,0.0,0.0
93,경기도,하남시,승용차,0.0,0.0,0.0,0.0
94,경기도,화성시,대중교통/도보,0.0,0.0,0.0,0.0
95,경기도,화성시,승용차,0.0,0.0,0.0,0.0
96,서울특별시,강남구,대중교통/도보,0.0,0.0,0.1221020252152282,38.18104858365731
97,서울특별시,강남구,승용차,0.0,0.0,2.5779165593827043,41.73347680999131
98,서울특별시,강동구,대중교통/도보,0.0,0.0,0.0,0.0
99,서울특별시,강동구,승용차,0.0,0.0,0.0,0.4838281657086335
100,서울특별시,강북구,대중교통/도보,0.0,0.0,0.0,24.023955688114267
101,서울특별시,강북구,승용차,0.0,0.0,0.0,33.36975655368247
102,서울특별시,강서구,대중교통/도보,8.809520483009525,80.07602016967974,100.0,100.0
103,서울특별시,강서구,승용차,36.30956419109019,100.0,100.0,100.0
104,서울특별시,관악구,대중교통/도보,0.0,0.0,2.747026547536355,88.07275492186261
105,서울특별시,관악구,승용차,0.0,0.0,21.42073796973314,90.21433509306085
106,서울특별시,광진구,대중교통/도보,0.0,0.0,0.0,0.9240091946537623
107,서울특별시,광진구,승용차,0.0,0.0,0.0,28.694183702183935
108,서울특별시,구로구,대중교통/도보,0.0,0.0,73.42121740605751,100.0
109,서울특별시,구로구,승용차,0.0,15.14120925809621,96.063611339081,100.0
110,서울특별시,금천구,대중교통/도보,0.0,0.0,3.2769977983974954,74.96476263552664
111,서울특별시,금천구,승용차,0.0,0.0,22.497576857385045,89.00850800496659
112,서울특별시,노원구,대중교통/도보,0.0,0.0,0.0,14.551830170507094
113,서울특별시,노원구,승용차,0.0,0.0,0.01738821172645733,43.77119295041361
114,서울특별시,도봉구,대중교통/도보,0.0,0.0,0.0,13.43940177784579
115,서울특별시,도봉구,승용차,0.0,0.0,0.0,40.86911233085106
116,서울특별시,동대문구,대중교통/도보,0.0,0.0,0.0,21.28554933131955
117,서울특별시,동대문구,승용차,0.0,0.0,0.0,29.33742975802255
118,서울특별시,동작구,대중교통/도보,0.0,0.0,34.84242276522668,95.98412906291645
119,서울특별시,동작구,승용차,0.0,0.5344273616692808,61.17975958297211,95.83044160893196
120,서울특별시,마포구,대중교통/도보,0.0,12.166734868357915,100.0,100.0
121,서울특별시,마포구,승용차,0.0,26.045873017057314,94.90675709617322,100.0
122,서울특별시,서대문구,대중교통/도보,0.0,8.41566678898141,69.08309282279102,98.1080487625056
123,서울특별시,서대문구,승용차,0.0,0.06958018434633058,86.77442774587372,100.0
124,서울특별시,서초구,대중교통/도보,0.0,0.0,7.928197568775989,72.20756550940398
125,서울특별시,서초구,승용차,0.0,0.0,34.34525228167664,73.8796939405624
126,서울특별시,성동구,대중교통/도보,0.0,0.0,0.0,62.7443752944437
127,서울특별시,성동구,승용차,0.0,0.0,0.154923042555413,69.54140216610216
128,서울특별시,성북구,대중교통/도보,0.0,0.0,0.0,53.63443046609365
129,서울특별시,성북구,승용차,0.0,0.0,2.3740727965076345,71.15375599485927
130,서울특별시,송파구,대중교통/도보,0.0,0.0,0.0,1.7042836712705163
131,서울특별시,송파구,승용차,0.0,0.0,0.0,13.308940329220396
132,서울특별시,양천구,대중교통/도보,0.0,31.636562661247737,100.0,100.0
133,서울특별시,양천구,승용차,13.917207125093814,90.62358538169397,99.95625608545252,100.0
134,서울특별시,영등포구,대중교통/도보,0.0,0.8984903729267844,78.09464149516471,100.0
135,서울특별시,영등포구,승용차,0.0,21.65086897584442,92.92643283338779,100.0
136,서울특별시,용산구,대중교통/도보,0.0,0.0,58.392724975666475,100.0
137,서울특별시,용산구,승용차,0.0,0.0,60.35354636496475,89.84247958975394
138,서울특별시,은평구,대중교통/도보,0.0,10.103934232128092,84.41928458833563,99.98849166983456
139,서울특별시,은평구,승용차,0.0,2.349831624431798,73.70949418097496,100.0
140,서울특별시,종로구,대중교통/도보,0.0,0.0,13.565718277863285,96.03466248413113
141,서울특별시,종로구,승용차,0.0,0.0,14.64513469226055,73.76036719110193
142,서울특별시,중구,대중교통/도보,0.0,0.0,31.835841203009785,99.22420178471376
143,서울특별시,중구,승용차,0.0,0.0,7.0692336785385725,74.26902924355173
144,서울특별시,중랑구,대중교통/도보,0.0,0.0,0.0,0.17160246532874784
145,서울특별시,중랑구,승용차,0.0,0.0,0.0,3.5591314257458673
